filename,width,height,class,xmin,ymin,xmax,ymax
22.jpg,605,807,egg,45,276,109,307
22.jpg,605,807,egg,114,286,165,329
22.jpg,605,807,egg,93,327,161,374
22.jpg,605,807,egg,261,281,302,334
22.jpg,605,807,egg,286,271,331,329
22.jpg,605,807,egg,285,243,341,293
22.jpg,605,807,egg,368,312,413,362
22.jpg,605,807,egg,475,307,533,332
22.jpg,605,807,egg,488,378,512,440
22.jpg,605,807,egg,514,392,533,447
22.jpg,605,807,egg,526,340,582,378
22.jpg,605,807,egg,531,361,586,399
22.jpg,605,807,egg,537,389,589,431
22.jpg,605,807,egg,555,417,605,454
22.jpg,605,807,egg,574,346,605,388
22.jpg,605,807,egg,567,391,605,426
22.jpg,605,807,egg,571,598,605,620
22.jpg,605,807,egg,580,627,605,697
23.jpg,605,807,egg,138,194,180,272
23.jpg,605,807,egg,51,221,99,300
23.jpg,605,807,egg,177,445,237,540
23.jpg,605,807,egg,80,547,177,586
23.jpg,605,807,egg,106,573,201,636
23.jpg,605,807,egg,299,549,359,627
23.jpg,605,807,egg,298,464,374,536
23.jpg,605,807,egg,317,425,393,475
23.jpg,605,807,egg,235,350,312,392
23.jpg,605,807,egg,248,297,302,364
23.jpg,605,807,egg,232,284,278,358
23.jpg,605,807,egg,295,279,370,339
23.jpg,605,807,egg,334,242,389,305
23.jpg,605,807,egg,301,179,322,254
23.jpg,605,807,egg,320,193,341,259
23.jpg,605,807,egg,340,165,362,247
23.jpg,605,807,egg,323,125,354,201
23.jpg,605,807,egg,344,112,395,184
23.jpg,605,807,egg,165,98,216,173
23.jpg,605,807,egg,221,166,282,239
23.jpg,605,807,egg,232,151,290,222
23.jpg,605,807,egg,291,53,344,123
23.jpg,605,807,egg,1,121,40,149
23.jpg,605,807,egg,139,49,207,97
23.jpg,605,807,egg,126,37,195,81
23.jpg,605,807,egg,1,82,79,120
23.jpg,605,807,egg,38,60,117,92
23.jpg,605,807,egg,1,33,44,88
23.jpg,605,807,egg,1,10,59,70
23.jpg,605,807,egg,524,501,594,547
23.jpg,605,807,egg,509,473,577,510
23.jpg,605,807,egg,554,429,595,508
23.jpg,605,807,egg,483,420,537,478
23.jpg,605,807,egg,512,433,555,477
23.jpg,605,807,egg,500,401,560,453
23.jpg,605,807,egg,487,376,562,419
23.jpg,605,807,egg,465,339,527,384
23.jpg,605,807,egg,560,365,605,415
23.jpg,605,807,egg,539,369,579,400
23.jpg,605,807,egg,540,325,578,379
23.jpg,605,807,egg,523,322,563,378
23.jpg,605,807,egg,490,287,535,354
23.jpg,605,807,egg,471,259,534,306
24.jpg,605,807,egg,203,589,242,614
24.jpg,605,807,egg,212,562,241,598
24.jpg,605,807,egg,265,627,288,666
24.jpg,605,807,egg,252,562,286,601
24.jpg,605,807,egg,296,597,310,643
24.jpg,605,807,egg,308,595,346,626
24.jpg,605,807,egg,357,681,383,716
24.jpg,605,807,egg,363,671,388,703
24.jpg,605,807,egg,399,678,430,715
24.jpg,605,807,egg,385,669,407,704
24.jpg,605,807,egg,369,645,383,681
24.jpg,605,807,egg,379,640,399,667
24.jpg,605,807,egg,391,631,410,666
24.jpg,605,807,egg,391,609,409,642
24.jpg,605,807,egg,405,654,441,672
24.jpg,605,807,egg,408,647,431,661
24.jpg,605,807,egg,415,633,444,650
24.jpg,605,807,egg,418,626,438,639
24.jpg,605,807,egg,413,595,430,629
24.jpg,605,807,egg,421,581,444,617
24.jpg,605,807,egg,304,544,337,572
24.jpg,605,807,egg,318,540,353,554
24.jpg,605,807,egg,315,525,349,539
24.jpg,605,807,egg,348,533,368,576
24.jpg,605,807,egg,375,533,387,572
24.jpg,605,807,egg,375,515,397,538
24.jpg,605,807,egg,369,500,397,529
24.jpg,605,807,egg,392,510,418,542
24.jpg,605,807,egg,416,487,436,529
24.jpg,605,807,egg,396,484,420,520
24.jpg,605,807,egg,413,454,438,489
24.jpg,605,807,egg,472,415,507,440
24.jpg,605,807,egg,369,475,386,510
24.jpg,605,807,egg,359,475,372,516
24.jpg,605,807,egg,307,472,344,495
24.jpg,605,807,egg,276,462,310,484
24.jpg,605,807,egg,166,427,208,445
24.jpg,605,807,egg,205,416,227,448
24.jpg,605,807,egg,291,390,320,426
24.jpg,605,807,egg,353,439,377,473
24.jpg,605,807,egg,359,421,402,438
24.jpg,605,807,egg,364,414,396,427
24.jpg,605,807,egg,308,399,342,422
24.jpg,605,807,egg,326,395,363,421
24.jpg,605,807,egg,338,365,352,401
24.jpg,605,807,egg,325,369,337,406
24.jpg,605,807,egg,301,378,331,403
24.jpg,605,807,egg,293,367,330,383
24.jpg,605,807,egg,290,359,324,375
24.jpg,605,807,egg,286,351,320,372
24.jpg,605,807,egg,340,342,372,360
24.jpg,605,807,egg,308,282,343,300
24.jpg,605,807,egg,340,216,352,259
24.jpg,605,807,egg,312,225,343,256
24.jpg,605,807,egg,308,214,333,243
24.jpg,605,807,egg,287,127,304,165
24.jpg,605,807,egg,248,132,288,158
24.jpg,605,807,egg,282,93,301,133
25.jpg,605,807,egg,157,282,191,316
25.jpg,605,807,egg,185,447,218,481
25.jpg,605,807,egg,207,432,236,460
25.jpg,605,807,egg,285,575,325,592
25.jpg,605,807,egg,282,556,320,577
25.jpg,605,807,egg,324,525,340,569
25.jpg,605,807,egg,360,575,377,615
25.jpg,605,807,egg,363,545,396,581
25.jpg,605,807,egg,375,528,408,554
25.jpg,605,807,egg,363,517,392,543
25.jpg,605,807,egg,270,389,301,427
25.jpg,605,807,egg,451,584,481,606
25.jpg,605,807,egg,449,569,477,589
25.jpg,605,807,egg,474,555,490,589
25.jpg,605,807,egg,492,555,508,594
25.jpg,605,807,egg,444,543,465,573
25.jpg,605,807,egg,452,537,482,562
25.jpg,605,807,egg,343,456,375,472
25.jpg,605,807,egg,449,525,481,549
25.jpg,605,807,egg,482,533,514,554
25.jpg,605,807,egg,475,532,497,553
25.jpg,605,807,egg,454,498,470,531
25.jpg,605,807,egg,480,509,505,537
25.jpg,605,807,egg,479,503,497,529
25.jpg,605,807,egg,476,479,497,517
25.jpg,605,807,egg,466,490,483,519
25.jpg,605,807,egg,424,465,449,488
25.jpg,605,807,egg,419,459,448,470
25.jpg,605,807,egg,414,438,446,459
25.jpg,605,807,egg,372,455,401,476
25.jpg,605,807,egg,383,431,398,464
25.jpg,605,807,egg,390,437,412,466
25.jpg,605,807,egg,348,448,379,461
25.jpg,605,807,egg,336,433,349,465
25.jpg,605,807,egg,347,420,385,445
25.jpg,605,807,egg,344,429,371,453
25.jpg,605,807,egg,531,471,553,497
25.jpg,605,807,egg,368,386,402,403
25.jpg,605,807,egg,410,377,427,408
25.jpg,605,807,egg,418,384,443,410
25.jpg,605,807,egg,452,395,490,419
25.jpg,605,807,egg,458,384,492,403
25.jpg,605,807,egg,437,364,455,400
25.jpg,605,807,egg,299,351,327,381
25.jpg,605,807,egg,518,329,530,369
25.jpg,605,807,egg,458,340,493,354
25.jpg,605,807,egg,430,297,454,329
25.jpg,605,807,egg,403,287,431,320
25.jpg,605,807,egg,241,249,260,281
25.jpg,605,807,egg,276,187,294,225
25.jpg,605,807,egg,292,200,326,227
25.jpg,605,807,egg,314,216,333,253
25.jpg,605,807,egg,321,212,349,248
25.jpg,605,807,egg,498,306,531,323
25.jpg,605,807,egg,407,204,440,225
25.jpg,605,807,egg,357,205,386,233
25.jpg,605,807,egg,375,188,405,215
25.jpg,605,807,egg,545,536,566,555
25.jpg,605,807,egg,339,290,358,306
26.jpg,605,807,egg,185,412,221,444
26.jpg,605,807,egg,216,395,239,423
26.jpg,605,807,egg,318,708,348,744
26.jpg,605,807,egg,277,636,310,676
26.jpg,605,807,egg,320,600,348,634
26.jpg,605,807,egg,301,581,320,619
26.jpg,605,807,egg,265,549,301,572
26.jpg,605,807,egg,250,526,283,550
26.jpg,605,807,egg,232,484,257,527
26.jpg,605,807,egg,251,456,272,500
26.jpg,605,807,egg,295,522,317,565
26.jpg,605,807,egg,274,514,301,550
26.jpg,605,807,egg,282,505,317,523
26.jpg,605,807,egg,268,487,306,505
26.jpg,605,807,egg,322,519,351,550
26.jpg,605,807,egg,324,504,356,537
26.jpg,605,807,egg,341,493,366,529
26.jpg,605,807,egg,354,527,391,550
26.jpg,605,807,egg,385,548,412,582
26.jpg,605,807,egg,468,561,499,587
26.jpg,605,807,egg,446,573,472,599
26.jpg,605,807,egg,439,565,465,592
26.jpg,605,807,egg,433,604,463,620
26.jpg,605,807,egg,421,586,455,608
26.jpg,605,807,egg,390,586,417,606
26.jpg,605,807,egg,385,628,402,658
26.jpg,605,807,egg,312,479,337,509
26.jpg,605,807,egg,310,460,328,492
26.jpg,605,807,egg,295,455,316,490
26.jpg,605,807,egg,328,442,345,472
26.jpg,605,807,egg,323,421,341,461
26.jpg,605,807,egg,301,425,318,461
26.jpg,605,807,egg,268,439,302,459
26.jpg,605,807,egg,296,404,306,436
26.jpg,605,807,egg,288,405,301,438
26.jpg,605,807,egg,312,399,328,433
26.jpg,605,807,egg,304,383,328,409
26.jpg,605,807,egg,288,382,310,404
26.jpg,605,807,egg,327,356,341,398
26.jpg,605,807,egg,312,351,330,392
26.jpg,605,807,egg,270,344,307,379
26.jpg,605,807,egg,274,286,290,327
26.jpg,605,807,egg,287,283,309,328
26.jpg,605,807,egg,348,367,380,394
26.jpg,605,807,egg,400,386,434,411
26.jpg,605,807,egg,394,376,422,400
26.jpg,605,807,egg,461,371,483,401
26.jpg,605,807,egg,444,365,472,384
26.jpg,605,807,egg,463,347,496,377
26.jpg,605,807,egg,174,221,211,262
26.jpg,605,807,egg,526,534,550,561
26.jpg,605,807,egg,521,466,549,499
26.jpg,605,807,egg,504,311,535,336
26.jpg,605,807,egg,439,269,457,304
26.jpg,605,807,egg,429,270,443,305
26.jpg,605,807,egg,411,160,437,195
26.jpg,605,807,egg,395,170,420,209
26.jpg,605,807,egg,327,158,361,184
26.jpg,605,807,egg,311,136,335,183
26.jpg,605,807,egg,514,431,536,455
27.jpg,605,807,egg,316,661,351,699
27.jpg,605,807,egg,344,612,381,638
27.jpg,605,807,egg,424,619,442,647
27.jpg,605,807,egg,412,562,444,599
27.jpg,605,807,egg,351,564,383,598
27.jpg,605,807,egg,371,514,408,551
27.jpg,605,807,egg,224,523,259,566
27.jpg,605,807,egg,236,492,265,538
27.jpg,605,807,egg,157,456,190,499
27.jpg,605,807,egg,175,442,212,469
27.jpg,605,807,egg,503,478,532,508
27.jpg,605,807,egg,457,456,474,494
27.jpg,605,807,egg,375,460,392,499
27.jpg,605,807,egg,392,453,420,479
27.jpg,605,807,egg,386,432,404,466
